"Date","Start-time","Highest-alt","Highest-time","End-time"
"21 Apr",00:35:45,"20°",00:38:12,00:40:39
"21 Apr",18:50:39,"39°",18:53:40,18:56:42
"21 Apr",20:26:32,"80°",20:29:45,20:32:59
"21 Apr",22:02:49,"86°",22:06:03,22:09:18
"21 Apr",23:39:09,"32°",23:42:05,23:45:00
"22 Apr",17:54:50,"24°",17:57:29,18:00:10
"22 Apr",19:30:11,"83°",19:33:24,19:36:38
"22 Apr",21:06:27,"74°",21:09:41,21:12:55
"22 Apr",22:42:42,"51°",22:45:51,22:48:59
"23 Apr",00:20:05,"12°",00:21:29,00:22:52
"23 Apr",16:59:29,"15°",17:01:21,17:03:14
"23 Apr",18:33:54,"59°",18:37:03,18:40:14
"23 Apr",20:10:02,"73°",20:13:15,20:16:29
"23 Apr",21:46:18,"75°",21:49:31,21:52:44
"23 Apr",23:22:53,"21°",23:25:22,23:27:50
"24 Apr",17:37:45,"38°",17:40:44,17:43:45
"24 Apr",19:13:35,"80°",19:16:48,19:20:02
"24 Apr",20:49:52,"85°",20:53:06,20:56:20
"24 Apr",22:26:11,"33°",22:29:08,22:32:04
"25 Apr",16:41:50,"23°",16:44:27,16:47:05
"25 Apr",18:17:09,"67°",18:20:00,18:23:34
"25 Apr",19:53:24,"74°",19:56:37,19:59:51
"25 Apr",21:29:39,"52°",21:32:47,21:35:56
"25 Apr",23:06:56,"13°",23:08:26,23:09:55
"26 Apr",15:46:27,"14°",15:48:14,15:50:01
"26 Apr",17:20:46,"57°",17:23:54,17:27:04
"26 Apr",18:56:53,"73°",19:00:06,19:03:19
"26 Apr",20:33:08,"76°",20:36:21,20:39:34
"26 Apr",22:09:41,"21°",22:12:12,22:14:43
"27 Apr",16:24:31,"36°",16:27:29,16:30:29
"27 Apr",18:00:20,"81°",18:03:32,18:06:46
"27 Apr",19:36:37,"84°",19:39:50,19:43:03
"27 Apr",21:12:54,"34°",21:15:52,21:18:49
"28 Apr",15:28:33,"23°",15:31:07,15:33:42
"28 Apr",17:03:47,"80°",17:06:59,17:10:12
"28 Apr",18:40:02,"73°",18:43:14,18:46:27
"28 Apr",20:16:16,"54°",20:19:25,20:22:33
"28 Apr",21:53:27,"13°",21:55:00,21:56:40
"29 Apr",14:33:08,"14°",14:34:49,14:36:27
"29 Apr",16:07:19,"49°",16:10:00,16:13:35
"29 Apr",17:43:25,"73°",17:46:37,17:49:49
"29 Apr",19:19:39,"78°",19:22:52,19:26:05
"29 Apr",20:56:10,"22°",20:58:43,21:01:17
"30 Apr",15:11:00,"35°",15:13:56,15:16:53
"30 Apr",16:46:45,"83°",16:49:58,16:53:10
"30 Apr",18:23:02,"82°",18:26:14,18:29:27
"30 Apr",19:59:18,"35°",20:02:17,20:05:15
